trip,haveNotebook,transcribed,pageMade,picturesAdded,published,slideshow
Alaska2015,yes,yes,yes,,,yes
Arizona2005,yes,yes,yes,,,no
Arizona2008,,yes,yes,,,no
Austin2015,yes,yes,yes,,,no
Canada2003,no,partial,yes,,,no
Charleston2008,no,partial,yes,,,no
Florida2000,,yes,yes,,,no
Florida2006,yes,yes,yes,,,no
Florida2013,"part2, missing part1",yes,yes,,,no
FtLauderdale2015,yes,yes,yes,,,no
Hawaii2011,yes,yes,yes,,,yes
Ireland2007,yes,yes,yes,,,yes
Jacksonville2016,yes,no,yes,,,no
London2009,yes,yes,yes,,,yes
NewOrleans2004,yes,yes,yes,,,no
Seattle1999,,partial,yes,,,no
Seattle2010,yes,no,yes,,,no
SpaceCamp1998,,partial,yes,,,no
SpaceCamp2001,,partial,yes,,,no
SpaceCamp2004,no,no,no,,,no
WashingtonDC2001,yes,yes,yes,,,no
WashingtonDC2011,,partial,yes,,,no
Yellowstone1999,,yes,yes,,,yes
Yellowstone2005,yes,yes,yes,,,yes
Yosemite2002,yes,yes,yes,,,yes
